,,,Poverty Line,,,,Head count Ratio,,,,,
Sr. No.,,State,2004-05(61st  Rnd),,2011-12(68 Rnd),,2004-05(61st  Rnd),,,2011-12(61st  Rnd),,
,State code,,Rural ,Urban,Rural ,Urban,Rural ,Urban,Total,Rural ,Urban,Total
,,,2,61,23,MAP,532.26,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<532.26 & state_com==23,
,,,2,61,27,MHR,631.85,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<631.85 & state_com==27,
,,,2,61,14,MNP,641.13,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<641.13 & state_com==14,
,,,2,61,17,MGL,745.73,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<745.73 & state_com==17,
,,,2,61,15,MZR,699.75,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<699.75 & state_com==15,
,,,2,61,13,NGL,782.93,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<782.93 & state_com==13,
,,,2,61,21,ORS,497.31,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<497.31 & state_com==21,
,,,2,61,3,PUN,642.51,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<642.51 & state_com==3,
,,,2,61,8,RAJ,568.15,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<568.15 & state_com==8,
,,,2,61,11,SKM,741.68,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<741.68 & state_com==11,
,,,2,61,33,TAN,559.77,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<559.77 & state_com==33,
,,,2,61,16,TRP,555.79,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<555.79 & state_com==16,
,,,2,61,5,UTC,532.12,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<532.12 & state_com==5,
,,,2,61,9,UTP,602.39,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<602.39 & state_com==9,
,,,2,61,19,WEB,572.51,replace poor=1 if rnd==61 & sctr==2 & mpce_mrp<572.51 & state_com==19,
,,,1,68,28,ANP,860,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<860 & state_com==28,
,,,1,68,12,ARP,930,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<930 & state_com==12,
,,,1,68,18,ASS,828,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<828 & state_com==18,
,,,1,68,10,BIH,778,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<778 & state_com==10,
,,,1,68,22,CHT,738,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<738 & state_com==22,
,,,1,68,7,DLI,1145,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1145 & state_com==7,
,,,1,68,30,GOA,1090,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1090 & state_com==30,
,,,1,68,24,GUJ,932,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<932 & state_com==24,
,,,1,68,6,HAR,1015,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1015 & state_com==6,
,,,1,68,2,HMP,913,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<913 & state_com==2,
,,,1,68,1,JMK,891,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<891 & state_com==1,
,,,1,68,20,JHK,748,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<748 & state_com==20,
,,,1,68,29,KAR,902,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<902 & state_com==29,
,,,1,68,32,KER,1018,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1018 & state_com==32,
,,,1,68,23,MAP,771,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<771 & state_com==23,
,,,1,68,27,MHR,967,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<967 & state_com==27,
,,,1,68,14,MNP,1118,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1118 & state_com==14,
,,,1,68,17,MGL,888,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<888 & state_com==17,
,,,1,68,15,MZR,1066,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1066 & state_com==15,
,,,1,68,13,NGL,1270,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1270 & state_com==13,
,,,1,68,21,ORS,695,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<695 & state_com==21,
,,,1,68,3,PUN,1054,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<1054 & state_com==3,
,,,1,68,8,RAJ,905,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<905 & state_com==8,
,,,1,68,11,SKM,930,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<930 & state_com==11,
,,,1,68,33,TAN,880,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<880 & state_com==33,
,,,1,68,16,TRP,798,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<798 & state_com==16,
,,,1,68,5,UTC,768,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<768 & state_com==5,
,,,1,68,9,UTP,880,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<880 & state_com==9,
,,,1,68,19,WEB,783,replace poor=1 if rnd==68 & sctr==1 & mpce_mrp<783 & state_com==19,
,,,2,68,28,ANP,1009,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1009 & state_com==28,
,,,2,68,12,ARP,1060,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1060 & state_com==12,
,,,2,68,18,ASS,1008,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1008 & state_com==18,
,,,2,68,10,BIH,923,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<923 & state_com==10,
,,,2,68,22,CHT,849,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<849 & state_com==22,
,,,2,68,7,DLI,1134,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1134 & state_com==7,
,,,2,68,30,GOA,1134,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1134 & state_com==30,
,,,2,68,24,GUJ,1152,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1152 & state_com==24,
,,,2,68,6,HAR,1169,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1169 & state_com==6,
,,,2,68,2,HMP,1064,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1064 & state_com==2,
,,,2,68,1,JMK,988,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<988 & state_com==1,
,,,2,68,20,JHK,974,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<974 & state_com==20,
,,,2,68,29,KAR,1089,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<1089 & state_com==29,
,,,2,68,32,KER,987,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<987 & state_com==32,
,,,2,68,23,MAP,897,replace poor=1 if rnd==68 & sctr==2 & mpce_mrp<897 & state_com==23,
